Subject,Block,Trial,Running_Trial,Selected,Warning,Covered,Action,Outcome,Cum_Outcome
4,4,24,99,4,1,0,1,5,113
4,4,25,100,4,1,1,1,-10,103
5,1,1,1,2,1,1,1,-5,-5
5,1,2,2,6,1,0,1,5,0
5,1,3,3,6,1,0,1,5,5
5,1,4,4,6,1,0,1,5,10
5,1,5,5,6,1,0,1,5,15
5,1,6,6,6,1,0,1,5,20
5,1,7,7,6,0,0,1,5,25
5,1,8,8,6,1,0,1,5,30
5,1,9,9,6,1,0,1,5,35
5,1,10,10,6,1,1,1,-5,30
5,1,11,11,1,0,0,0,0,30
5,1,12,12,4,1,1,1,-10,20
5,1,13,13,6,1,0,1,5,25
5,1,14,14,6,0,0,0,0,25
5,1,15,15,6,1,0,1,5,30
5,1,16,16,6,0,0,1,5,35
5,1,17,17,6,1,1,0,0,35
5,1,18,18,6,0,0,1,5,40
5,1,19,19,6,1,0,1,5,45
5,1,20,20,6,1,1,1,-5,40
5,1,21,21,6,0,0,1,5,45
5,1,22,22,6,0,0,1,5,50
5,1,23,23,6,1,1,1,-5,45
5,1,24,24,6,0,0,1,5,50
5,1,25,25,5,1,0,0,0,50
5,2,1,26,5,1,1,1,-7,43
5,2,2,27,2,1,0,0,0,43
5,2,3,28,1,1,1,0,0,43
5,2,4,29,2,0,0,1,8,51
5,2,5,30,2,0,0,1,8,59
5,2,6,31,2,1,1,0,0,59
5,2,7,32,2,1,0,1,8,67
5,2,8,33,2,1,1,1,-5,62
5,2,9,34,3,1,1,0,0,62
5,2,10,35,2,0,0,1,8,70
5,2,11,36,2,1,0,1,8,78
5,2,12,37,2,1,0,1,8,86
5,2,13,38,2,1,1,1,-5,81
5,2,14,39,2,1,0,1,8,89
5,2,15,40,6,0,0,1,2,91
5,2,16,41,2,0,0,1,8,99
5,2,17,42,2,1,1,1,-5,94
5,2,18,43,2,1,1,1,-5,89
5,2,19,44,2,1,1,0,0,89
5,2,20,45,2,1,0,0,0,89
5,2,21,46,6,0,0,1,2,91
5,2,22,47,2,1,1,1,-5,86
5,2,23,48,2,1,1,1,-5,81
5,2,24,49,6,1,1,1,-4,77
5,2,25,50,5,1,1,1,-7,70
5,3,1,51,5,1,1,0,0,70
5,3,2,52,3,1,1,1,-6,64
5,3,3,53,6,0,0,1,2,66
5,3,4,54,6,0,0,1,2,68
5,3,5,55,6,0,0,1,2,70
5,3,6,56,6,1,1,0,0,70
5,3,7,57,4,0,0,1,5,75
5,3,8,58,4,1,0,0,0,75
5,3,9,59,6,0,0,1,2,77
5,3,10,60,4,0,0,1,5,82
5,3,11,61,4,1,1,0,0,82
5,3,12,62,6,0,0,1,2,84
5,3,13,63,4,1,0,1,5,89
5,3,14,64,4,0,0,1,5,94
5,3,15,65,4,1,0,0,0,94
5,3,16,66,4,1,0,0,0,94
5,3,17,67,4,1,1,0,0,94
5,3,18,68,4,1,0,1,5,99
5,3,19,69,6,0,0,1,2,101
5,3,20,70,4,1,0,1,5,106
5,3,21,71,4,1,1,1,-8,98
5,3,22,72,6,0,0,1,2,100
5,3,23,73,4,0,0,1,5,105
5,3,24,74,6,1,0,0,0,105
5,3,25,75,6,1,0,1,2,107
5,4,1,76,4,0,0,1,5,112
5,4,2,77,4,1,1,1,-10,102
5,4,3,78,5,0,0,1,5,107
5,4,4,79,5,1,0,1,5,112
5,4,5,80,5,0,0,1,5,117
5,4,6,81,5,1,0,1,5,122
5,4,7,82,5,0,0,1,5,127
5,4,8,83,5,1,1,0,0,127
5,4,9,84,5,1,0,1,5,132
5,4,10,85,5,0,0,1,5,137
5,4,11,86,5,1,0,1,5,142
5,4,12,87,5,1,0,1,5,147
5,4,13,88,5,1,0,1,5,152
5,4,14,89,5,0,0,1,5,157
5,4,15,90,5,0,0,1,5,162
5,4,16,91,5,1,0,1,5,167
5,4,17,92,5,1,0,1,5,172
5,4,18,93,5,1,0,1,5,177
5,4,19,94,5,1,0,1,5,182
5,4,20,95,5,1,1,1,-9,173
5,4,21,96,5,1,0,1,5,178
5,4,22,97,5,1,0,1,5,183
5,4,23,98,5,0,0,1,5,188
5,4,24,99,5,1,0,0,0,188
5,4,25,100,5,1,0,1,5,193
6,1,1,1,1,0,0,0,0,0
6,1,2,2,1,0,0,1,2,2
6,1,3,3,1,0,0,1,2,4
6,1,4,4,5,1,0,1,2,6
6,1,5,5,5,0,0,1,2,8
6,1,6,6,5,0,0,0,0,8
6,1,7,7,1,1,1,1,-1,7
6,1,8,8,5,0,0,1,2,9
6,1,9,9,5,0,0,1,2,11
6,1,10,10,6,1,1,1,-5,6
6,1,11,11,5,0,0,0,0,6
6,1,12,12,5,0,0,0,0,6
6,1,13,13,5,0,0,1,2,8
6,1,14,14,1,0,0,1,2,10
6,1,15,15,5,0,0,1,2,12
6,1,16,16,5,0,0,1,2,14
6,1,17,17,5,1,0,1,2,16
6,1,18,18,5,0,0,1,2,18
6,1,19,19,5,0,0,1,2,20
6,1,20,20,4,1,0,0,0,20
6,1,21,21,5,0,0,1,2,22
6,1,22,22,5,0,0,1,2,24
6,1,23,23,5,1,0,1,2,26
6,1,24,24,5,0,0,1,2,28
6,1,25,25,5,1,0,1,2,30
6,2,1,26,6,0,0,1,2,32
6,2,2,27,6,0,0,1,2,34
6,2,3,28,6,0,0,1,2,36
6,2,4,29,6,1,1,1,-4,32
6,2,5,30,6,0,0,1,2,34
6,2,6,31,6,1,0,1,2,36
6,2,7,32,4,0,0,1,8,44
6,2,8,33,4,1,1,1,-9,35
6,2,9,34,6,0,0,1,2,37
6,2,10,35,6,0,0,1,2,39
6,2,11,36,2,1,0,1,8,47
6,2,12,37,2,1,0,0,0,47
6,2,13,38,2,1,1,1,-5,42
6,2,14,39,6,0,0,1,2,44
6,2,15,40,2,1,0,0,0,44
6,2,16,41,6,0,0,1,2,46
6,2,17,42,6,0,0,1,2,48
6,2,18,43,4,1,1,1,-9,39
6,2,19,44,2,1,1,1,-5,34
6,2,20,45,6,0,0,1,2,36
6,2,21,46,6,0,0,1,2,38
6,2,22,47,6,0,0,1,2,40
6,2,23,48,6,0,0,1,2,42
6,2,24,49,6,1,1,1,-4,38
6,2,25,50,6,1,0,0,0,38
6,3,1,51,6,1,0,0,0,38
6,3,2,52,2,1,0,0,0,38
6,3,3,53,3,0,0,1,6,44
6,3,4,54,3,1,0,1,6,50
6,3,5,55,3,1,0,1,6,56
6,3,6,56,3,0,0,1,6,62
6,3,7,57,3,0,0,1,6,68
6,3,8,58,3,1,1,1,-6,62
6,3,9,59,3,1,0,1,6,68
6,3,10,60,3,1,1,1,-6,62
6,3,11,61,5,1,0,1,3,65
6,3,12,62,5,0,0,1,3,68
6,3,13,63,3,1,1,0,0,68
6,3,14,64,5,1,0,0,0,68
6,3,15,65,3,1,0,1,6,74
6,3,16,66,3,1,1,1,-6,68
6,3,17,67,1,1,0,0,0,68
6,3,18,68,5,0,0,1,3,71
6,3,19,69,3,1,0,0,0,71
6,3,20,70,3,0,0,1,6,77
6,3,21,71,5,1,0,0,0,77
6,3,22,72,3,1,0,1,6,83
6,3,23,73,3,0,0,1,6,89
6,3,24,74,3,1,1,0,0,89
6,3,25,75,3,1,0,0,0,89
6,4,1,76,2,1,1,0,0,89
6,4,2,77,3,1,0,1,7,96
6,4,3,78,3,1,1,1,-7,89
6,4,4,79,6,1,1,1,-4,85
6,4,5,80,1,1,1,1,-3,82
6,4,6,81,3,1,0,0,0,82
6,4,7,82,4,1,0,0,0,82
6,4,8,83,2,1,1,1,-3,79
6,4,9,84,3,1,0,0,0,79
6,4,10,85,5,0,0,1,5,84
6,4,11,86,5,1,0,0,0,84
6,4,12,87,5,1,0,1,5,89
6,4,13,88,5,1,0,1,5,94
6,4,14,89,5,0,0,1,5,99
6,4,15,90,5,0,0,1,5,104
6,4,16,91,5,1,0,1,5,109
6,4,17,92,5,1,0,1,5,114
6,4,18,93,5,1,0,1,5,119
6,4,19,94,5,1,0,1,5,124
6,4,20,95,5,1,1,1,-9,115
6,4,21,96,3,1,1,1,-7,108
6,4,22,97,5,1,0,1,5,113
6,4,23,98,5,0,0,1,5,118
6,4,24,99,5,1,0,1,5,123
6,4,25,100,5,1,0,1,5,128
7,1,1,1,2,1,1,1,-5,-5
